CANVAS[7957] bounds(2408,2454/2938,2856) rotate(542.1)
CANVAS[7957] bounds(2450,2239/3064,2700) rotate(538.8)
CANVAS[7957] bounds(2510,2645/3157,3159) rotate(547.6)
CANVAS[8078] bounds(1000,2268/1674,2876) rotate(205.9)
CANVAS[8078] bounds(1014,2265/1741,2864) rotate(191.9)
CANVAS[8078] bounds(1020,2328/1778,3039) rotate(214.7)
CANVAS[8078] bounds(1020,2333/1774,3047) rotate(214.2)
CANVAS[8078] bounds(1028,2285/1656,2763) rotate(182.4)
CANVAS[8078] bounds(1030,2569/1789,3218) rotate(197.2)
CANVAS[8078] bounds(1038,2290/1656,2754) rotate(178.9)
CANVAS[8078] bounds(1072,2684/1691,3166) rotate(184.7)
CANVAS[8078] bounds(1107,2431/1642,2949) rotate(218.2)
CANVAS[8078] bounds(1173,2493/1917,3138) rotate(199.0)
CANVAS[8078] bounds(1222,2721/2011,3408) rotate(199.6)
CANVAS[8078] bounds(1316,2825/1985,3408) rotate(199.6)
CANVAS[8078] bounds(1475,2470/2106,3067) rotate(214.4)
CANVAS[8078] bounds(481,2199/1361,3029) rotate(213.5)
CANVAS[8078] bounds(504,2240/1280,2882) rotate(192.0)
CANVAS[8078] bounds(540,2235/1466,3105) rotate(213.0)
CANVAS[8078] bounds(596,2255/1554,3082) rotate(198.7)
CANVAS[8078] bounds(600,2302/1396,2951) rotate(190.2)
CANVAS[8078] bounds(664,2319/1355,2899) rotate(194.2)
CANVAS[8078] bounds(709,1917/2043,3223) rotate(221.0)
CANVAS[8078] bounds(720,2221/1427,2873) rotate(209.7)
CANVAS[8078] bounds(744,2242/1592,3055) rotate(217.6)
CANVAS[8078] bounds(763,2288/1406,2822) rotate(189.7)
CANVAS[8078] bounds(783,2236/1599,2959) rotate(202.8)
CANVAS[8078] bounds(818,2039/1950,3108) rotate(214.1)
CANVAS[8078] bounds(819,2287/1693,3082) rotate(206.9)
CANVAS[8078] bounds(820,2271/1705,3075) rotate(206.9)
CANVAS[8078] bounds(839,2295/1670,3033) rotate(203.1)
CANVAS[8078] bounds(848,2169/1629,2868) rotate(204.4)
CANVAS[8078] bounds(850,2172/1629,2863) rotate(203.3)
CANVAS[8078] bounds(872,2184/1619,2828) rotate(198.3)
CANVAS[8078] bounds(872,2213/1603,2801) rotate(171.0)
CANVAS[8078] bounds(885,2203/1692,3003) rotate(223.3)
CANVAS[8078] bounds(896,2228/1720,3024) rotate(218.1)
CANVAS[8078] bounds(967,2501/1724,3085) rotate(183.5)
CANVAS[8196] bounds(1171,2248/1841,2773) rotate(-175.0)
CANVAS[8196] bounds(1189,2388/1973,3036) rotate(-191.8)
CANVAS[8196] bounds(1317,2616/2285,3382) rotate(-173.4)
CANVAS[8196] bounds(1324,2665/1888,3095) rotate(-182.0)
CANVAS[8196] bounds(1328,2671/1905,3111) rotate(-181.1)
CANVAS[8196] bounds(1359,2389/2150,3121) rotate(-150.2)
CANVAS[8196] bounds(1394,2864/2047,3389) rotate(-171.5)
CANVAS[8196] bounds(1410,2525/2306,3247) rotate(-171.3)
CANVAS[8196] bounds(1418,2717/2209,3371) rotate(-168.3)
CANVAS[8196] bounds(1419,2616/2098,3135) rotate(-177.9)
CANVAS[8196] bounds(1451,2529/2193,3125) rotate(-173.8)
CANVAS[8196] bounds(1455,2618/2182,3163) rotate(-180.6)
CANVAS[8196] bounds(1459,2535/2181,3103) rotate(-174.2)
CANVAS[8196] bounds(1465,2439/2142,2990) rotate(-170.4)
CANVAS[8196] bounds(1477,2783/2220,3387) rotate(-171.3)
CANVAS[8196] bounds(1477,2797/2228,3412) rotate(-169.4)
CANVAS[8196] bounds(1483,2835/2193,3411) rotate(-170.7)
CANVAS[8196] bounds(1484,2483/2103,2947) rotate(-179.1)
CANVAS[8196] bounds(1499,2463/2136,2951) rotate(-177.4)
CANVAS[8196] bounds(1544,2594/2282,3237) rotate(-160.5)
CANVAS[8196] bounds(1580,2785/2347,3376) rotate(-176.7)
CANVAS[8196] bounds(1582,2492/2332,3094) rotate(-171.9)
CANVAS[8196] bounds(1607,2463/2449,3182) rotate(-163.5)
CANVAS[8196] bounds(1607,2476/2443,3180) rotate(-165.6)
CANVAS[8196] bounds(1623,2198/2331,2732) rotate(-178.8)
CANVAS[8196] bounds(1640,2216/2304,2711) rotate(-179.9)
CANVAS[8196] bounds(1659,2592/2470,3238) rotate(-173.2)
CANVAS[8196] bounds(1664,2586/2464,3201) rotate(-177.1)
CANVAS[8196] bounds(1670,2609/2454,3228) rotate(-174.1)
CANVAS[8196] bounds(1684,2677/2250,3123) rotate(-174.0)
CANVAS[8196] bounds(1746,2686/2438,3213) rotate(-178.1)
CANVAS[8196] bounds(1762,2242/2474,2787) rotate(-177.3)
CANVAS[8196] bounds(1766,2783/2443,3298) rotate(-182.6)
CANVAS[8689] bounds(2247,2222/3066,2684) rotate(-180.9)
